"지역","연령(만)","성별","신장","체중","BMI","체지방률","허리둘레","윗몸일으키기","악력(D)","악력(ND)","제자리멀리뛰기","20m 왕복오래달리기","좌전굴","10m 왕복달리기","연령집단"
1,31,2,172.4,52.5,17.6638260991274,23.2,71.2,31,30.9,29.8,153,25,15.2,13.47,3
1,32,1,165,61.1,22.4426078971534,8.8,72.4,55,51.1,46.7,222,42,23.1,10.48,3
1,32,1,166.7,63.6,22.8868443467875,22.5,83,33,34.6,32.7,186,27,14.2,11.3,3
1,32,1,168,81.52,28.8832199546485,28.4,93,38,36.4,30,155,14,10.4,13.73,3
1,32,1,168.4,75.1,26.482303755903,24.1,87,65,46.4,45.8,206,50,13.5,10.02,3
1,32,1,170,60.46,20.9,12.3,78,61,38.9,39.6,247,56,19.8,8.87,3
1,32,1,170,60.46,20.9204152249135,12.3,73.8,61,39.6,38.9,247,56,19.8,8.87,3
1,32,1,171.2,69.7,23.7807341252511,23.9,84,40,39.7,39.2,189,42,10.2,11.33,3
1,32,1,175.3,78.9,25.7,18.2,87.9,69,47.1,51.2,249,61,31.7,9.85,3
1,32,1,176.7,113.3,36.3,29.8,112.5,39,48.9,44.4,202,57,12.8,11.88,3
1,32,1,178,72.1,22.7559651559147,15,81.3,62,49.4,45.4,262,67,20.5,8.77,3
1,32,1,187.9,99.24,28.1082103787952,28.7,98.8,21,32.7,30.7,183,26,-1.1,11.61,3
1,32,2,154.5,63.1,26.4345786072622,36.8,88.1,22,23.3,23.4,100,8,15.2,16.5,3
1,32,2,154.9,45.48,19,32.5,66,35,18.8,18,145,36,14.5,12.56,3
1,32,2,155.6,57.84,23.8896121490077,34.9,83,27,21.7,20.5,135,15,4.1,14.3,3
1,32,2,155.7,67.2,27.7,38.3,68.2,22,23.6,23.8,131,25,19.8,12.34,3
1,32,2,160.7,55.3,21.4,20.4,70.1,43,29,27.8,153,22,14.4,12.6,3
1,32,2,165.4,63.6,23.2480272075025,29.5,80.3,30,32.4,29.2,154.2,21,12.7,13.5,3
1,32,2,168.1,56.9,20.1361686285571,24.8,78.2,35,29.1,27.7,157,20,13.8,13.75,3
1,32,2,168.3,53.8,18.9938954749692,28.2,61,20,21.5,19.5,148,18,-5.4,15.14,3
1,32,2,170.6,63.92,21.9623451606563,23.8,77,46,31.1,29.9,147,26,14.4,12.4,3
1,32,2,173.2,66.2,22.0679613203975,27.1,77,13,30.9,26.2,162,15,17.8,13.57,3
1,33,1,166.6,66.7,24,34.6,86.9,27,29.9,33,171,20,-1.6,11.21,3
1,33,1,171.1,68,23.2278436260577,19.4,80.1,45,38.7,34,213,53,10.9,10.58,3
1,33,1,172,66.4,22.4445646295295,18.5,76.4,43,45.6,39.8,221,48,16.6,11.14,3
1,33,1,174.4,84.4,27.7491372780069,25.3,88.2,43,51.1,51.2,202.7,47,17.1,11.2,3
1,33,1,176,106.3,34.3,37.6,108,23,47.7,54,191,28,10.5,11.03,3
1,33,1,176.3,85.4,27.4759834487764,26.4,93.8,37,53.4,49.3,188,45,14.4,11.45,3
1,33,1,177,89.2,28.5,24.7,95.3,56,53.8,46.9,215,50,18.4,10.4,3
1,33,1,177.4,74.7,23.7363190466325,17.3,81.9,64,49.7,47.6,251,79,19,9.63,3
1,33,1,183.9,83.74,24.7610751404305,11.1,78.4,34,56.1,50.1,238,50,12.8,9.7,3
1,33,1,186.4,93.3,26.8528154874836,20.7,95,45,46.3,47.7,191,37,3.6,10.88,3
1,33,2,155.3,53.28,22.091301591461,31.4,75.7,42,23.9,23.1,168,25,24.6,12.72,3
1,33,2,155.5,63.1,26.0956772572657,32.2,83.2,27,30,28.1,150,11,20,11.76,3
1,33,2,157,46.4,18.8,24.5,71,28,24.3,28.5,165,30,24.8,14.1,3
1,33,2,160.2,57.66,22.4672343091735,35.4,75.9,17,20.3,17.8,136,18,5,13.91,3
1,33,2,160.8,96.7,37.3985173634316,48.3,106,3,23.7,23.2,141,7,3.9,14.41,3
1,33,2,162,57,21.7192501143118,24.9,73,58,33.2,34.4,195,57,25.8,10.99,3
1,33,2,162.1,54,20.5507525571416,26.5,72.5,28,26.2,23.2,139.2,23,15.7,13.5,3
1,33,2,165.2,55.3,20.2630606968441,25.5,65.5,40,22.9,23.1,158,30,17.1,12.6,3
1,33,2,167.1,60,21.4881165343536,23.4,73.7,21,23.5,22.9,130,22,18.2,14.94,3
1,33,2,168,59.1,20.9396258503401,17.3,77.5,53,32.8,43.7,201,62,28.4,10.99,3
1,34,1,170.5,73.8,25.3867785794756,22.1,88.5,44,43.5,38.5,196,45,18.5,11.95,3
1,34,1,180.6,75.2,23.055914271243,18.8,79,41,40.5,39.4,208,51,24.5,12.41,3
1,34,2,147,44.1,20.4081632653061,31.5,68.7,30,18.3,15.9,139,18,11.5,13.7,3
1,34,2,150,55,24.4444444444444,31.4,77,38,31.1,29.4,187,43,20,12.13,3
1,34,2,153,50.24,21.4618309197317,29.3,73.7,31,16.8,15.9,138,22,17.3,15.47,3
1,34,2,157.3,54.4,21.9857585632307,27.2,65.5,32,23.2,22.5,134,21,13.9,13.21,3
1,34,2,158.7,55.9,22.1951433532296,27.2,70.7,35,31.8,26.7,186.2,35,18.9,11.8,3
1,34,2,161,69.86,26.9511207129355,41.9,84,25,27.7,25.3,102,10,20.9,14.66,3
1,34,2,161.2,53.5,20.5884526103849,27.7,63.4,33,26.1,23.4,174.8,33,7.2,11.9,3
1,34,2,163.7,49,18.2851581610206,27.3,65.6,30,22.9,20.5,138,18,-1,14.38,3
1,34,2,164,51.7,19.2221891731112,25.4,74,33,22.4,20.6,154,22,21.4,13.39,3
1,34,2,174,74.2,24.5078610120227,30.5,81.8,27,29.5,28.8,117.4,15,5.2,17.2,3
1,35,1,168.9,70.6,24.7,16.8,80,54,51.9,56.1,215,72,28.8,11.1,4
